Guid,Name,CurrencyIsoCode,SBQQ__AggregateField__c,SBQQ__AggregateFunction__c,SBQQ__CombineWith__c,SBQQ__CompositeOperator__c,SBQQ__ConstraintField__c,SBQQ__FilterField__c,SBQQ__FilterValue__c,SBQQ__Operator__c,SBQQ__Scope__c,SBQQ__TargetObject__c,SBQQ__ValueElement__c,SummaryVariableExternalID__c
830c5943-b702-4376-94ab-808e487a6f8b,Quantity Of Primary Base Products,USD,Quantity,Max,#N/A,#N/A,#N/A,PrimaryBaseProduct__c,TRUE,equals,Quote,Quote Line,#N/A,#N/A
8bfd20cb-e163-45e6-8a2d-c45c0fcbf01f,Max Prorate Multiplier,USD,SBQQ__ProrateMultiplier__c,Max,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Quote Line,#N/A,a8c0t0000004FtqAAE20191009193657Z20191009193648Z
9167077a-5cc1-4b69-a07a-4a2f39c8454a,Quantity of Customer Service Product,USD,Quantity,Max,#N/A,#N/A,#N/A,Product Code,CS,starts with,Quote,Quote Line,#N/A,#N/A
9affef56-740c-47c5-aa8b-b84f9487c8c4,Rollup Is Evergreen field,USD,IsEvergreen__c,Max,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Quote Line,#N/A,a8c0t0000004Fu0AAE20191029194005Z20191029193958Z
9ee05575-03a1-486a-a7f7-dc4c3f94fb71,Max of Silver Services Discount,USD,SBQQ__Discount__c,Max,#N/A,#N/A,#N/A,SBQQ__ProductName__c,Premium Support (Silver Services),contains,Quote,Quote Line,#N/A,#N/A
a07f368b-92b7-401c-9a25-373c94824f8b,Count of Runbook Automation Bundle,USD,SBQQ__Quantity__c,Count,#N/A,#N/A,#N/A,Product Code,RA-XX-XX-CPQ,equals,Quote,Quote Line,#N/A,#N/A
a2ad6085-38bc-44c5-a7d6-f1ec65fa9ebd,Max Quantity Of TAM,USD,Quantity,Max,#N/A,#N/A,#N/A,SBQQ__ProductCode__c,TAM,contains,Quote,Quote Line,#N/A,#N/A
a9781d29-1a19-499f-8e88-564b3f4f12c9,Count Of Runbook Automation Products,USD,SBQQ__Quantity__c,Count,#N/A,#N/A,#N/A,Product Code,RA-XX-XX-CPQ,equals,Quote,Quote Line,#N/A,#N/A
ac423b24-284f-4757-9901-c196e026e7db,Count of PD.Org Products,USD,Quantity,Count,#N/A,#N/A,#N/A,SBQQ__ProductName__c,PD.Org,contains,Quote,Quote Line,#N/A,a8c0t0000004Fp6AAE20190814063706Z20190814063659Z
ae204ee8-7df3-4df1-989f-5446692f7fce,Count of Expert Services Products,USD,SBQQ__Quantity__c,Count,#N/A,#N/A,#N/A,ServiceProduct__c,TRUE,equals,Quote,Quote Line,#N/A,a8c0t0000004FtMAAU20190911221551Z20190911221546Z
b4c75b04-9c30-4324-822e-985a7c7ea0bc,Sum Base Product Quantity (non-Stakeholder),USD,SBQQ__Quantity__c,Sum,#N/A,#N/A,#N/A,IncludeBaseProductForAddOnLevelUp__c,TRUE,equals,Quote,Quote Line,#N/A,#N/A
bb220639-d700-4495-9a13-73604ae24d4d,Count Of Subscription Gold Products,USD,fml_SubscriptionQuantity__c,Sum,#N/A,#N/A,#N/A,SBQQ__ProductName__c,Gold,contains,Quote,Quote Line,#N/A,#N/A
d423fb16-03e3-4834-bb5e-65f13975c0e5,Count of Existing Non Annual Quote Lines,USD,SBQQ__Quantity__c,Count,#N/A,#N/A,#N/A,Non_Annual_Subscription__c,TRUE,equals,Quote,Quote Line,#N/A,#N/A
dc1991af-b650-4722-a72a-ed67b2c70062,Sum of Enterprise Quantity,USD,Quantity,Sum,#N/A,#N/A,#N/A,EnterpriseBaseProduct__c,TRUE,equals,Quote,Quote Line,#N/A,#N/A
dd833ff2-8952-4c18-be4b-1d58ec6085ac,Count Base Product Line Item Quantity (non-Stakeholder),USD,SBQQ__Quantity__c,Count,#N/A,#N/A,#N/A,NonStakeholderBaseProduct__c,TRUE,equals,Quote,Quote Line,#N/A,#N/A
e4f51266-172a-432f-bd54-0a546bae285c,Base Product Total Discount,USD,TotalDiscountCustom__c,Max,#N/A,#N/A,#N/A,SBQQ__ProductFamily__c,Base Product,equals,Quote,Quote Line,#N/A,#N/A
fe7e5363-6e47-4018-930a-29993f500d84,Count of Catalytic Products,USD,SBQQ__Quantity__c,Count,#N/A,#N/A,#N/A,Product Code,WA-XX-XX-CPQ,equals,Quote,Quote Line,#N/A,#N/A
