Guid,Name,CurrencyIsoCode,SBQQ__Active__c,SBQQ__AdvancedCondition__c,SBQQ__ConditionsMet__c,SBQQ__ErrorMessage__c,SBQQ__EvaluationEvent__c,SBQQ__EvaluationOrder__c,SBQQ__LookupMessageField__c,SBQQ__LookupObject__c,SBQQ__LookupProductField__c,SBQQ__LookupRequiredField__c,SBQQ__LookupTypeField__c,SBQQ__Scope__c,SBQQ__Type__c,ProductRuleExternalID__c
b3bd2cf0-2f7b-4006-85e0-7acfcb8bc0df,Enterprise Incident Management Minimum Quantity,USD,false,#N/A,All,Enterprise Incident Management and Enterprise Customer Service must have a minimum quantity of 50 users.,Save,180.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Validation,#N/A
b760aec0-e61a-4c6b-a0a8-d0d4e9112249,Deselect EI when AIOps is selected,USD,true,#N/A,All,#N/A,Edit,70.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
bbb3fb90-ddd5-47c4-9d1c-522c78e36740,Cannot have CS base with Customer Service add on SKU,USD,true,#N/A,Any,Customer Service add on licenses are not allowed to be purchased with the Customer service base plan.,Always,52.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
bed220de-f978-4f09-8928-903b51f555da,Block PagerDuty Advance Product Swap On Amend,USD,true,#N/A,All,PagerDuty Advance Product Swap is not allowed on an Amendment quote.,Save,120.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Validation,#N/A
c2a2f220-bf10-43bf-b364-2a0974326f7e,No Add-ons for Single Instance,USD,true,#N/A,All,Add-on Products are not allowed with Single Instance,Edit,51.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
ce45cc44-a08c-48a7-bb19-7f052947e7f9,Restore Base Products for No Professional,USD,true,#N/A,Any,Professional Removed-> Restores Non Professional Base Products.,Edit,60.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
d1fa6501-1f91-4f6d-ae13-6030ac2ee0d9,Stakeholder User (Pack of 50) Combinations,USD,true,#N/A,All,#N/A,Edit,50.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
d28c8060-9390-45b1-b076-cf133db4963b,Block Two Customer Service Products,USD,true,#N/A,All,Two Customer Service Line Items are not allowed to be sold on a quote.,Save,120.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Validation,#N/A
d2e6a92b-0a3b-4e79-af06-616acfc61149,Filter Other Primary Base Products When Enterprise Selected,USD,true,#N/A,All,"When Enterprise is Selected, Only Customer Service available for Selection. Please deselect Enterprise for all Base Products Menu.",Always,70.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
d4e2d3d9-aac7-4224-babd-725e4f88908b,Silver Gold Minimum Price Validation,USD,false,#N/A,All,Silver Gold Services products must be sold for a minimum of the product List Price.,Save,20.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Alert,#N/A
