Guid,CurrencyIsoCode,SBQQ__ProductRule__c,SBQQ__Active__c,SBQQ__AscendingNestedLevel__c,SBQQ__DescendingActionNesting__c,SBQQ__DescendingNestedLevel__c,SBQQ__ProductFeature__c,SBQQ__Product__c,SBQQ__RuleEvaluationEvent__c,SBQQ__RuleType__c,ConfigRuleExternalID__c
759e901d-dd24-4f46-9abe-c5adb3556e07,USD,e6f39ea7-60bb-4b85-bc48-3b1aa3ecd138,true,#N/A,#N/A,#N/A,#N/A,9156e32a-c0fe-4a9a-93e0-7a45d3beda8c,Edit,Selection,#N/A
784f4ad4-3c9e-432f-b596-6c9e0165602e,USD,0cea268f-feaa-45aa-8463-b559cb6bb2a0,true,#N/A,#N/A,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,Edit,Selection,#N/A
7ad84491-953c-4762-9640-5648f46c76f5,USD,687f461d-ec98-4753-9bdb-067983d262b8,true,#N/A,#N/A,#N/A,#N/A,535e5662-2ff3-4ad2-b1ed-75341d9bb251,Load,Selection,#N/A
80c2a5d5-9291-4902-8ddd-b697283d1d4a,USD,b760aec0-e61a-4c6b-a0a8-d0d4e9112249,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Edit,Selection,#N/A
842449ec-18ae-4fe6-ad69-6bd2ce8d8fae,USD,34e92ca5-e95f-4a09-9469-e84a9f06c1af,true,#N/A,#N/A,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,Always,Selection,#N/A
863ab5d8-fe03-4175-abcb-ba9a063e5b29,USD,a264f0e8-a69c-4a13-bad8-c3a0f4068bcf,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Edit,Selection,#N/A
8834e0d1-77dc-4863-8a0c-77c72ea394f3,USD,34e92ca5-e95f-4a09-9469-e84a9f06c1af,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Always,Selection,#N/A
8c058712-c02c-4f72-817c-8338d428e52c,USD,ce45cc44-a08c-48a7-bb19-7f052947e7f9,true,#N/A,#N/A,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,Edit,Selection,#N/A
8e30b75b-a331-44b0-9cc3-238f0b624a94,USD,bbb3fb90-ddd5-47c4-9d1c-522c78e36740,true,#N/A,#N/A,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,Always,Selection,#N/A
901bf847-f307-4793-82da-3ea394c874b4,USD,bbb3fb90-ddd5-47c4-9d1c-522c78e36740,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Always,Selection,#N/A
