Guid,Name,CurrencyIsoCode,SBQQ__EffectiveDate__c,SBQQ__LowerBound__c,SBQQ__PriceBook2__c,SBQQ__Price__c,SBQQ__Product__c,SBQQ__UpperBound__c,PriceFormat__c,OverageRate__c,MixedBlockTierOFPrice__c,ProductCode__c
49cabbbe-3b05-482f-aa69-eaa8655a072f,Team Stakeholder Tier 3,USD,#N/A,51.0,#N/A,8400.0,ff2edd6b-8e7a-4a33-9b53-a4ec30838363,251.0,FlatFee,#N/A,#N/A,S2TC-BP-XX-CPQ
49cb7b2f-6a0a-4763-8b95-c02ae63aaa9b,Professional Plus Stakeholder Tier 6,USD,#N/A,1001.0,#N/A,90000.0,d7c789d5-c096-4b94-8e4f-3794f56d1185,#N/A,FlatFee,#N/A,#N/A,STPPC-BP-XX-CPQ
49fcd7f6-5f0d-47c2-9cd8-465a9834314c,Professional Plus PD.Org Tier 2,USD,#N/A,11.0,#N/A,228.0,e7fb4f5b-847b-40a9-b283-ce700cf8621a,#N/A,FlatFee,228.0,#N/A,PPP-BP-XX-CPQ
4c611725-9dc0-415f-8ae6-89ca9afa3703,Tier 5 Team Tiered Legacy Stakeholder,USD,#N/A,4.0,#N/A,240.0,4356d58b-e565-432c-a9a8-37857c10d652,5.0,FlatFee,#N/A,#N/A,S2TL-BP-XX-CPQ
4cd632fe-3fd5-4df0-b89f-cfb0b8577da1,Tier 1,USD,#N/A,1.0,4861353f-43ea-4659-af7d-b14a8d769281,120.0,25dd93fa-c6e3-4a6d-a173-a3053912fd12,4.0,FlatFee,#N/A,#N/A,#N/A
4d2dcb87-6fea-46b9-bac6-d3b8b2e5b006,Professional Plus Stakeholder Tier 3,USD,#N/A,51.0,#N/A,700.0,8a4fe5d5-5492-423b-b1f3-7ec4d717ab48,251.0,FlatFee,#N/A,#N/A,PPTSU-BP-MM-CPQ
4d708ae6-893e-4f41-ba95-7abedbb402e7,Stakeholder PD.Org Tier 6,USD,#N/A,1001.0,#N/A,54000.0,c473f9fe-1517-4a3c-8fe6-fbff97063407,5001.0,FlatFee,#N/A,#N/A,S3PX-BP-XX-CPQ
4db495eb-f11a-4f0f-98a7-c31a94a0b115,Standard Stakeholder Tier 1,USD,#N/A,0.0,#N/A,0.0,bb1cf1d2-8422-4df5-9900-f415b52807c9,1.0,FlatFee,#N/A,#N/A,S2SC-BP-XX-CPQ
4e973744-3a1d-4acc-b320-2bd7c46260ff,Stakeholder User Fee Tier 3,USD,#N/A,51.0,#N/A,700.0,e69f6830-a5c2-4938-a8b0-45417431342d,251.0,FlatFee,#N/A,#N/A,BSPSU-BP-MM-CPQ
4ecde326-7828-49fb-9aac-33aff929cbac,Tier 1,USD,#N/A,1.0,#N/A,120.0,7ecb351a-69a1-4373-846a-8d3406268b59,6.0,FlatFee,#N/A,#N/A,STR-BP-XX-CPQ
4ef07b16-6b3c-4c9d-91e9-fd45ea24c548,Team Stakeholder Tier 4,USD,#N/A,251.0,#N/A,15000.0,51a01acd-c95b-4c11-a90e-abb5c9167908,501.0,FlatFee,#N/A,#N/A,SHT-BP-XX-CPQ
4f23e2c6-e0f7-4c79-b349-14c173bb6e22,Stakeholder User Fee Tier 4,USD,#N/A,251.0,#N/A,1250.0,133fe117-c33e-4023-a8a7-7abb872479ad,501.0,FlatFee,#N/A,#N/A,BSPSU-BP-MM-CPQ-FY21
4f747aed-a5f2-4b46-8d95-8083e07a90f9,Business Stakeholder Tier 6,USD,#N/A,1001.0,#N/A,90000.0,ec4f1c60-b390-4ff2-a52c-8c40ef19dd29,#N/A,FlatFee,#N/A,#N/A,SHB-BP-XX-CPQ
4f80b879-8b78-4078-aff7-7cbc8a7162f0,Stakeholder User Fee Tier 1,USD,#N/A,0.0,#N/A,0.0,8be8f77e-6d8d-4229-990c-44aa9f37f640,1.0,FlatFee,#N/A,#N/A,BSTPS-BP-MM-CPQ-FY21
501f3649-8009-4e71-8435-11800860d190,Business Stakeholder Tier 1,USD,#N/A,0.0,#N/A,0.0,34942e64-b97d-4256-a75c-937954c0e0ef,1.0,FlatFee,#N/A,#N/A,SHB-BP-XX-CPQ-FY21
5180acb8-7721-4465-b167-c67bccb86aff,Professional Services Optimize With ServiceNow (XX-Large) Tier 5,USD,#N/A,1501.0,#N/A,110000.0,a7ca1efe-216a-4f06-a124-7c73191f523f,2501.0,FlatFee,#N/A,#N/A,PSVOS-SE-SS-CPQ
519f524e-b261-4616-ae00-62c206bdfaf1,1-10 PD.Org Users - Tier 1,USD,#N/A,1.0,#N/A,0.0,c19785df-6f9f-449a-b989-9ca6cc5a8d09,11.0,FlatFee,#N/A,#N/A,PTP-BP-XX-CPQ
52055989-2f9c-45b8-9571-3f3766cbac74,Standard Stakeholder Tier 5,USD,#N/A,501.0,#N/A,2000.0,3936d099-2d5f-4eb6-978d-83bb4647f93a,1001.0,FlatFee,#N/A,#N/A,STPS-BP-MM-CPQ
