Guid,CurrencyIsoCode,SBQQ__Rule__c,SBQQ__FilterType__c,SBQQ__FilterValue__c,SBQQ__FilterVariable__c,SBQQ__Index__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__RuleTargetsQuote__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedVariable__c,ErrorConditionExternalID__c
6607a9e2-f9e0-4bc2-a265-e020095ad307,USD,e0e3ac6b-e299-43d5-99b6-df508e97ac34,Value,Runbook Automation - Full User,#N/A,1.0,contains,true,true,SBQQ__ProductName__c,Quote Line,#N/A,#N/A
665633d6-90bd-4612-9298-cb3aeaea3040,USD,5f219a7a-47d7-4709-a19a-d66951e3912c,Value,RE1C-BP-XX-CPQ,#N/A,20.0,contains,true,true,SBQQ__ProductCode__c,Quote Line,#N/A,#N/A
6878e3f6-c63c-49e0-9894-911f84023b86,USD,9e66d065-2a33-4259-bbb0-4cd2f9245194,Value,FALSE,#N/A,50.0,equals,true,true,DealDeskOverride__c,Quote,#N/A,#N/A
692a0abc-67ff-438d-9583-09c13230c2fd,USD,0b6b79d9-08c8-48b1-83ad-c4b0acffc7eb,Value,#N/A,#N/A,1.0,equals,true,false,DigitalOperationsProduct__c,Product Option,#N/A,#N/A
69cbfe81-19e2-4b8d-9779-61b1ea1e84e0,USD,1cdd7d4e-6804-4846-9942-d2de15ed9361,Value,TRUE,#N/A,#N/A,equals,true,false,No_Stakeholder_Rate_Plan_Charge__c,Product Option,#N/A,#N/A
6b293c8d-65ed-4424-8435-1d1af4e84ffc,USD,20eac0bc-a16d-4a83-ba0d-ef839196af8c,Value,RBPSQ-SE-SS-CPQ,#N/A,40.0,equals,false,true,SBQQ__ProductCode__c,Quote Line,#N/A,#N/A
6b2db8ce-6923-457a-adfc-f76bc7b1da73,USD,a6813fa2-7f6b-42b9-b7f7-634a6ced7b61,Value,TRUE,#N/A,10.0,equals,true,false,fml_PagerDutyAdvanceBlocklist__c,Quote,#N/A,#N/A
6dc3467f-d1f8-4d38-8c89-6bcba53de35b,USD,b051871d-d676-4983-b8e8-3dad7b25838b,Value,#N/A,#N/A,#N/A,not equals,true,true,SBQQ__RenewedSubscription__c,Quote Line,#N/A,#N/A
6eb2c471-e43f-4a24-9eb7-4abbf131547f,USD,f4f4b6bd-7600-4d0a-8c87-4b2c58bc276c,Value,0,#N/A,10.0,greater than,true,true,#N/A,#N/A,ffd1b9b7-3c45-40d0-98f7-db89b19122c5,#N/A
6ec620de-68c5-41d4-aae0-bee3840961f9,USD,fff77191-4cc9-44cc-b209-5be296d946c4,Value,CSV-BP-XX-CPQ,#N/A,#N/A,not equals,true,false,SBQQ__ProductCode__c,Product Option,#N/A,#N/A
